movie_id,title,cast,director
57158,The Hobbit: The Desolation of Smaug,"['MartinFreeman', 'IanMcKellen', 'RichardArmitage']",PeterJackson
2268,The Golden Compass,"['DakotaBlueRichards', 'NicoleKidman', 'DanielCraig']",ChrisWeitz
254,King Kong,"['NaomiWatts', 'JackBlack', 'AdrienBrody']",PeterJackson
597,Titanic,"['KateWinslet', 'LeonardoDiCaprio', 'FrancesFisher']",JamesCameron
271110,Captain America: Civil War,"['ChrisEvans', 'RobertDowneyJr.', 'ScarlettJohansson']",AnthonyRusso
44833,Battleship,"['TaylorKitsch', 'AlexanderSkarsgård', 'Rihanna']",PeterBerg
135397,Jurassic World,"['ChrisPratt', 'BryceDallasHoward', 'IrrfanKhan']",ColinTrevorrow
37724,Skyfall,"['DanielCraig', 'JudiDench', 'JavierBardem']",SamMendes
558,Spider-Man 2,"['TobeyMaguire', 'KirstenDunst', 'JamesFranco']",SamRaimi
68721,Iron Man 3,"['RobertDowneyJr.', 'GwynethPaltrow', 'DonCheadle']",ShaneBlack
12155,Alice in Wonderland,"['MiaWasikowska', 'JohnnyDepp', 'AnneHathaway']",TimBurton
36668,X-Men: The Last Stand,"['HughJackman', 'HalleBerry', 'IanMcKellen']",BrettRatner
62211,Monsters University,"['BillyCrystal', 'JohnGoodman', 'SteveBuscemi']",DanScanlon
8373,Transformers: Revenge of the Fallen,"['ShiaLaBeouf', 'MeganFox', 'JoshDuhamel']",MichaelBay
91314,Transformers: Age of Extinction,"['MarkWahlberg', 'StanleyTucci', 'KelseyGrammer']",MichaelBay
68728,Oz: The Great and Powerful,"['JamesFranco', 'MilaKunis', 'RachelWeisz']",SamRaimi
102382,The Amazing Spider-Man 2,"['AndrewGarfield', 'EmmaStone', 'JamieFoxx']",MarcWebb
20526,TRON: Legacy,"['GarrettHedlund', 'JeffBridges', 'OliviaWilde']",JosephKosinski
49013,Cars 2,"['OwenWilson', 'LarrytheCableGuy', 'MichaelCaine']",JohnLasseter
44912,Green Lantern,"['RyanReynolds', 'BlakeLively', 'PeterSarsgaard']",MartinCampbell
10193,Toy Story 3,"['TomHanks', 'TimAllen', 'NedBeatty']",LeeUnkrich
534,Terminator Salvation,"['ChristianBale', 'SamWorthington', 'AntonYelchin']",McG
168259,Furious 7,"['VinDiesel', 'PaulWalker', 'DwayneJohnson']",JamesWan
72190,World War Z,"['BradPitt', 'MireilleEnos', 'AbigailHargrove']",MarcForster
127585,X-Men: Days of Future Past,"['HughJackman', 'JamesMcAvoy', 'MichaelFassbender']",BryanSinger
54138,Star Trek Into Darkness,"['ChrisPine', 'ZacharyQuinto', 'ZoeSaldana']",J.J.Abrams
81005,Jack the Giant Slayer,"['NicholasHoult', 'EleanorTomlinson', 'EwanMcGregor']",BryanSinger
64682,The Great Gatsby,"['LeonardoDiCaprio', 'TobeyMaguire', 'CareyMulligan']",BazLuhrmann
9543,Prince of Persia: The Sands of Time,"['JakeGyllenhaal', 'GemmaArterton', 'BenKingsley']",MikeNewell
68726,Pacific Rim,"['IdrisElba', 'CharlieHunnam', 'CharlieDay']",GuillermodelToro
38356,Transformers: Dark of the Moon,"['ShiaLaBeouf', 'JohnMalkovich', 'KenJeong']",MichaelBay
217,Indiana Jones and the Kingdom of the Crystal Skull,"['HarrisonFord', 'CateBlanchett', 'ShiaLaBeouf']",StevenSpielberg
105864,The Good Dinosaur,"['RaymondOchoa', 'JackBright', 'JeffreyWright']",PeterSohn
62177,Brave,"['KellyMacdonald', 'JulieWalters', 'BillyConnolly']",BrendaChapman
188927,Star Trek Beyond,"['ChrisPine', 'ZacharyQuinto', 'KarlUrban']",JustinLin
10681,WALL·E,"['BenBurtt', 'ElissaKnight', 'JeffGarlin']",AndrewStanton
5174,Rush Hour 3,"['ChrisTucker', 'JackieChan', 'HiroyukiSanada']",BrettRatner
14161,2012,"['JohnCusack', 'AmandaPeet', 'ChiwetelEjiofor']",RolandEmmerich
17979,A Christmas Carol,"['GaryOldman', 'JimCarrey', 'SteveValentine']",RobertZemeckis
76757,Jupiter Ascending,"['MilaKunis', 'ChanningTatum', 'SeanBean']",LillyWachowski
258489,The Legend of Tarzan,"['AlexanderSkarsgård', 'MargotRobbie', 'ChristophWaltz']",DavidYates
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","['WilliamMoseley', 'AnnaPopplewell', 'SkandarKeynes']",AndrewAdamson
246655,X-Men: Apocalypse,"['JamesMcAvoy', 'MichaelFassbender', 'JenniferLawrence']",BryanSinger
155,The Dark Knight,"['ChristianBale', 'HeathLedger', 'AaronEckhart']",ChristopherNolan
14160,Up,"['EdAsner', 'ChristopherPlummer', 'JordanNagai']",PeteDocter
15512,Monsters vs Aliens,"['SethRogen', 'ReeseWitherspoon', 'HughLaurie']",ConradVernon
1726,Iron Man,"['RobertDowneyJr.', 'TerrenceHoward', 'JeffBridges']",JonFavreau
44826,Hugo,"['BenKingsley', 'SachaBaronCohen', 'AsaButterfield']",MartinScorsese
8487,Wild Wild West,"['WillSmith', 'KevinKline', 'KennethBranagh']",BarrySonnenfeld
1735,The Mummy: Tomb of the Dragon Emperor,"['BrendanFraser', 'JetLi', 'JohnHannah']",RobCohen
297761,Suicide Squad,"['WillSmith', 'MargotRobbie', 'JoelKinnaman']",DavidAyer
2698,Evan Almighty,"['SteveCarell', 'LaurenGraham', 'JohnGoodman']",TomShadyac
137113,Edge of Tomorrow,"['TomCruise', 'EmilyBlunt', 'BrendanGleeson']",DougLiman
9804,Waterworld,"['KevinCostner', 'ChaimGirafi', 'RickAviles']",KevinReynolds
14869,G.I. Joe: The Rise of Cobra,"['DennisQuaid', 'ChanningTatum', 'MarlonWayans']",StephenSommers
150540,Inside Out,"['AmyPoehler', 'PhyllisSmith', 'RichardKind']",PeteDocter
278927,The Jungle Book,"['NeelSethi', 'BillMurray', 'BenKingsley']",JonFavreau
10138,Iron Man 2,"['RobertDowneyJr.', 'GwynethPaltrow', 'DonCheadle']",JonFavreau
58595,Snow White and the Huntsman,"['KristenStewart', 'CharlizeTheron', 'ChrisHemsworth']",RupertSanders
102651,Maleficent,"['AngelinaJolie', 'ElleFanning', 'SharltoCopley']",RobertStromberg
119450,Dawn of the Planet of the Apes,"['AndySerkis', 'JasonClarke', 'GaryOldman']",MattReeves
79698,The Lovers,"['JoshHartnett', 'SimoneKessell', 'TamsinEgerton']",RolandJoffé
64686,47 Ronin,"['KeanuReeves', 'HiroyukiSanada', 'KouShibasaki']",CarlRinsch
100402,Captain America: The Winter Soldier,"['ChrisEvans', 'SamuelL.Jackson', 'ScarlettJohansson']",AnthonyRusso
10192,Shrek Forever After,"['MikeMyers', 'EddieMurphy', 'CameronDiaz']",MikeMitchell
158852,Tomorrowland,"['BrittRobertson', 'GeorgeClooney', 'RaffeyCassidy']",BradBird
177572,Big Hero 6,"['ScottAdsit', 'RyanPotter', 'DanielHenney']",ChrisWilliams
82690,Wreck-It Ralph,"['JohnC.Reilly', 'SarahSilverman', 'JackMcBrayer']",RichMoore
5255,The Polar Express,"['TomHanks', 'MichaelJeter', 'NonaGaye']",RobertZemeckis
47933,Independence Day: Resurgence,"['LiamHemsworth', 'JeffGoldblum', 'BillPullman']",RolandEmmerich
10191,How to Train Your Dragon,"['JayBaruchel', 'GerardButler', 'CraigFerguson']",ChrisSanders
296,Terminator 3: Rise of the Machines,"['ArnoldSchwarzenegger', 'NickStahl', 'ClaireDanes']",JonathanMostow
118340,Guardians of the Galaxy,"['ChrisPratt', 'ZoeSaldana', 'DaveBautista']",JamesGunn
157336,Interstellar,"['MatthewMcConaughey', 'JessicaChastain', 'AnneHathaway']",ChristopherNolan
27205,Inception,"['LeonardoDiCaprio', 'JosephGordon-Levitt', 'EllenPage']",ChristopherNolan
315011,Shin Godzilla,"['HirokiHasegawa', 'YutakaTakenouchi', 'SatomiIshihara']",HideakiAnno
49051,The Hobbit: An Unexpected Journey,"['IanMcKellen', 'MartinFreeman', 'RichardArmitage']",PeterJackson
9799,The Fast and the Furious,"['PaulWalker', 'VinDiesel', 'MichelleRodriguez']",RobCohen
4922,The Curious Case of Benjamin Button,"['CateBlanchett', 'BradPitt', 'TildaSwinton']",DavidFincher
49538,X-Men: First Class,"['JamesMcAvoy', 'MichaelFassbender', 'JenniferLawrence']",MatthewVaughn
131634,The Hunger Games: Mockingjay - Part 2,"['JenniferLawrence', 'JoshHutcherson', 'LiamHemsworth']",FrancisLawrence
27022,The Sorcerer's Apprentice,"['NicolasCage', 'JayBaruchel', 'MonicaBellucci']",JonTurteltaub
503,Poseidon,"['KurtRussell', 'RichardDreyfuss', 'JoshLucas']",WolfgangPetersen
241259,Alice Through the Looking Glass,"['JohnnyDepp', 'MiaWasikowska', 'AnneHathaway']",JamesBobin
810,Shrek the Third,"['MikeMyers', 'EddieMurphy', 'CameronDiaz']",ChrisMiller
68735,Warcraft,"['PaulaPatton', 'TravisFimmel', 'BenFoster']",DuncanJones
87101,Terminator Genisys,"['ArnoldSchwarzenegger', 'JasonClarke', 'EmiliaClarke']",AlanTaylor
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,"['SkandarKeynes', 'GeorgieHenley', 'SimonPegg']",MichaelApted
676,Pearl Harbor,"['BenAffleck', 'JoshHartnett', 'KateBeckinsale']",MichaelBay
1858,Transformers,"['ShiaLaBeouf', 'JoshDuhamel', 'MeganFox']",MichaelBay
1966,Alexander,"['ColinFarrell', 'AngelinaJolie', 'ValKilmer']",OliverStone
675,Harry Potter and the Order of the Phoenix,"['DanielRadcliffe', 'RupertGrint', 'EmmaWatson']",DavidYates
674,Harry Potter and the Goblet of Fire,"['DanielRadcliffe', 'RupertGrint', 'EmmaWatson']",MikeNewell
8960,Hancock,"['WillSmith', 'CharlizeTheron', 'JasonBateman']",PeterBerg
6479,I Am Legend,"['WillSmith', 'AliceBraga', 'CharlieTahan']",FrancisLawrence
118,Charlie and the Chocolate Factory,"['JohnnyDepp', 'FreddieHighmore', 'DavidKelly']",TimBurton
2062,Ratatouille,"['PattonOswalt', 'IanHolm', 'LouRomano']",JanPinkava
272,Batman Begins,"['ChristianBale', 'MichaelCaine', 'LiamNeeson']",ChristopherNolan
10527,Madagascar: Escape 2 Africa,"['BenStiller', 'JadaPinkettSmith', 'DavidSchwimmer']",EricDarnell
18360,Night at the Museum: Battle of the Smithsonian,"['BenStiller', 'AmyAdams', 'OwenWilson']",ShawnLevy
2080,X-Men Origins: Wolverine,"['HughJackman', 'LievSchreiber', 'DannyHuston']",GavinHood
605,The Matrix Revolutions,"['KeanuReeves', 'LaurenceFishburne', 'Carrie-AnneMoss']",LillyWachowski
109445,Frozen,"['KristenBell', 'IdinaMenzel', 'JonathanGroff']",ChrisBuck
604,The Matrix Reloaded,"['KeanuReeves', 'Carrie-AnneMoss', 'LaurenceFishburne']",LillyWachowski
76338,Thor: The Dark World,"['ChrisHemsworth', 'NataliePortman', 'TomHiddleston']",AlanTaylor
76341,Mad Max: Fury Road,"['TomHardy', 'CharlizeTheron', 'NicholasHoult']",GeorgeMiller
13448,Angels & Demons,"['TomHanks', 'EwanMcGregor', 'AyeletZurer']",RonHoward
10195,Thor,"['ChrisHemsworth', 'NataliePortman', 'TomHiddleston']",KennethBranagh
13053,Bolt,"['JohnTravolta', 'MileyCyrus', 'SusieEssman']",ChrisWilliams
19585,G-Force,"['SamRockwell', 'PenélopeCruz', 'TracyMorgan']",HoytYeatman
57165,Wrath of the Titans,"['SamWorthington', 'LiamNeeson', 'RalphFiennes']",JonathanLiebesman
62213,Dark Shadows,"['JohnnyDepp', 'MichellePfeiffer', 'HelenaBonhamCarter']",TimBurton
177677,Mission: Impossible - Rogue Nation,"['TomCruise', 'RebeccaFerguson', 'SimonPegg']",ChristopherMcQuarrie
7978,The Wolfman,"['BeniciodelToro', 'AnthonyHopkins', 'EmilyBlunt']",JoeJohnston
5559,Bee Movie,"['JerrySeinfeld', 'RenéeZellweger', 'JimCummings']",SteveHickner
49444,Kung Fu Panda 2,"['JackBlack', 'AngelinaJolie', 'DustinHoffman']",JenniferYuhNelson
10196,The Last Airbender,"['NoahRinger', 'NicolaPeltz', 'JacksonRathbone']",M.NightShyamalan
956,Mission: Impossible III,"['TomCruise', 'PhilipSeymourHoffman', 'VingRhames']",J.J.Abrams
117251,White House Down,"['ChanningTatum', 'JamieFoxx', 'JoeyKing']",RolandEmmerich
50321,Mars Needs Moms,"['SethGreen', 'JoanCusack', 'DanFogler']",SimonWells
11619,Flushed Away,"['HughJackman', 'KateWinslet', 'IanMcKellen']",DavidBowers
266647,Pan,"['LeviMiller', 'GarrettHedlund', 'HughJackman']",JoeWright
82703,Mr. Peabody & Sherman,"['TyBurrell', 'MaxCharles', 'ArielWinter']",RobMinkoff
652,Troy,"['BradPitt', 'OrlandoBloom', 'EricBana']",WolfgangPetersen
80321,Madagascar 3: Europe's Most Wanted,"['BenStiller', 'SachaBaronCohen', 'DavidSchwimmer']",ConradVernon
36669,Die Another Day,"['PierceBrosnan', 'HalleBerry', 'RosamundPike']",LeeTamahori
43074,Ghostbusters,"['MelissaMcCarthy', 'KristenWiig', 'KateMcKinnon']",PaulFeig
95,Armageddon,"['BruceWillis', 'BillyBobThornton', 'BenAffleck']",MichaelBay
608,Men in Black II,"['TommyLeeJones', 'WillSmith', 'RipTorn']",BarrySonnenfeld
2310,Beowulf,"['RayWinstone', 'AngelinaJolie', 'AnthonyHopkins']",RobertZemeckis
140300,Kung Fu Panda 3,"['JackBlack', 'BryanCranston', 'DustinHoffman']",JenniferYuhNelson
56292,Mission: Impossible - Ghost Protocol,"['TomCruise', 'JeremyRenner', 'SimonPegg']",BradBird
81188,Rise of the Guardians,"['ChrisPine', 'AlecBaldwin', 'JudeLaw']",PeterRamsey
7552,Fun with Dick and Jane,"['JimCarrey', 'TéaLeoni', 'AlecBaldwin']",DeanParisot
616,The Last Samurai,"['TomCruise', 'KenWatanabe', 'WilliamAtherton']",EdwardZwick
147441,Exodus: Gods and Kings,"['ChristianBale', 'JoelEdgerton', 'JohnTurturro']",RidleyScott
13475,Star Trek,"['ChrisPine', 'ZacharyQuinto', 'LeonardNimoy']",J.J.Abrams
557,Spider-Man,"['TobeyMaguire', 'WillemDafoe', 'KirstenDunst']",SamRaimi
82702,How to Train Your Dragon 2,"['JayBaruchel', 'GerardButler', 'KristenWiig']",DeanDeBlois
205584,Gods of Egypt,"['BrentonThwaites', 'NikolajCoster-Waldau', 'GerardButler']",AlexProyas
10048,Stealth,"['JoshLucas', 'JessicaBiel', 'JamieFoxx']",RobCohen
13183,Watchmen,"['MalinÅkerman', 'BillyCrudup', 'CarlaGugino']",ZackSnyder
944,Lethal Weapon 4,"['MelGibson', 'DannyGlover', 'JoePesci']",RichardDonner
1927,Hulk,"['EricBana', 'JenniferConnelly', 'SamElliott']",AngLee
72559,G.I. Joe: Retaliation,"['DwayneJohnson', 'D.J.Cotrona', 'AdriannePalicki']",JonM.Chu
7364,Sahara,"['MatthewMcConaughey', 'PenélopeCruz', 'SteveZahn']",BreckEisner
2114,Final Fantasy: The Spirits Within,"['DonaldSutherland', 'Ming-NaWen', 'AlecBaldwin']",HironobuSakaguchi
1771,Captain America: The First Avenger,"['ChrisEvans', 'HugoWeaving', 'TommyLeeJones']",JoeJohnston
36643,The World Is Not Enough,"['PierceBrosnan', 'SophieMarceau', 'RobertCarlyle']",MichaelApted
8619,Master and Commander: The Far Side of the World,"['RussellCrowe', 'PaulBettany', ""JamesD'Arcy""]",PeterWeir
50620,The Twilight Saga: Breaking Dawn - Part 2,"['KristenStewart', 'RobertPattinson', 'TaylorLautner']",BillCondon
65759,Happy Feet Two,"['ElijahWood', 'RobinWilliams', 'Pink']",GeorgeMiller
1724,The Incredible Hulk,"['EdwardNorton', 'LivTyler', 'TimRoth']",LouisLeterrier
267935,The BFG,"['RubyBarnhill', 'MarkRylance', 'RebeccaHall']",StevenSpielberg
281957,The Revenant,"['LeonardoDiCaprio', 'TomHardy', 'WillPoulter']",AlejandroGonzálezIñárritu
77950,Turbo,"['RyanReynolds', 'PaulGiamatti', 'MichaelPeña']",DavidSoren
44896,Rango,"['JohnnyDepp', 'IslaFisher', 'NedBeatty']",GoreVerbinski
270946,Penguins of Madagascar,"['TomMcGrath', 'ChrisMiller', 'ChristopherKnights']",EricDarnell
2503,The Bourne Ultimatum,"['MattDamon', 'JuliaStiles', 'DavidStrathairn']",PaulGreengrass
9502,Kung Fu Panda,"['JackBlack', 'DustinHoffman', 'AngelinaJolie']",MarkOsborne
102899,Ant-Man,"['PaulRudd', 'MichaelDouglas', 'EvangelineLilly']",PeytonReed
101299,The Hunger Games: Catching Fire,"['JenniferLawrence', 'JoshHutcherson', 'LiamHemsworth']",FrancisLawrence
228161,Home,"['JimParsons', 'Rihanna', 'SteveMartin']",TimJohnson
74,War of the Worlds,"['TomCruise', 'DakotaFanning', 'MirandaOtto']",StevenSpielberg
8961,Bad Boys II,"['MartinLawrence', 'WillSmith', 'JordiMollà']",MichaelBay
417859,Puss in Boots,"['AntonioBanderas', 'SalmaHayek', 'ZachGalifianakis']",ChrisMiller
27576,Salt,"['AngelinaJolie', 'LievSchreiber', 'ChiwetelEjiofor']",PhillipNoyce
86834,Noah,"['RussellCrowe', 'JenniferConnelly', 'EmmaWatson']",DarrenAronofsky
17578,The Adventures of Tintin,"['JamieBell', 'AndySerkis', 'DanielCraig']",StevenSpielberg
673,Harry Potter and the Prisoner of Azkaban,"['DanielRadcliffe', 'RupertGrint', 'EmmaWatson']",AlfonsoCuarón
6972,Australia,"['NicoleKidman', 'HughJackman', 'EssieDavis']",BazLuhrmann
82700,After Earth,"['JadenSmith', 'WillSmith', 'SophieOkonedo']",M.NightShyamalan
10567,Dinosaur,"['D.B.Sweeney', 'AlfreWoodard', 'OssieDavis']",RalphZondag
181533,Night at the Museum: Secret of the Tomb,"['BenStiller', 'RamiMalek', 'RebelWilson']",ShawnLevy
38055,Megamind,"['WillFerrell', 'BradPitt', 'TinaFey']",TomMcGrath
671,Harry Potter and the Philosopher's Stone,"['DanielRadcliffe', 'RupertGrint', 'EmmaWatson']",ChrisColumbus
49524,R.I.P.D.,"['JeffBridges', 'RyanReynolds', 'KevinBacon']",RobertSchwentke
22,Pirates of the Caribbean: The Curse of the Black Pearl,"['JohnnyDepp', 'GeoffreyRush', 'OrlandoBloom']",GoreVerbinski
131631,The Hunger Games: Mockingjay - Part 1,"['JenniferLawrence', 'JoshHutcherson', 'LiamHemsworth']",FrancisLawrence
591,The Da Vinci Code,"['TomHanks', 'AudreyTautou', 'IanMcKellen']",RonHoward
172385,Rio 2,"['JesseEisenberg', 'AnneHathaway', 'LeslieMann']",CarlosSaldanha
36658,X2,"['PatrickStewart', 'HughJackman', 'IanMcKellen']",BryanSinger
51497,Fast Five,"['VinDiesel', 'PaulWalker', 'JordanaBrewster']",JustinLin
58574,Sherlock Holmes: A Game of Shadows,"['RobertDowneyJr.', 'JudeLaw', 'JaredHarris']",GuyRitchie
18823,Clash of the Titans,"['SamWorthington', 'LiamNeeson', 'RalphFiennes']",LouisLeterrier
861,Total Recall,"['ArnoldSchwarzenegger', 'SharonStone', 'RachelTicotin']",PaulVerhoeven
1911,The 13th Warrior,"['AntonioBanderas', 'VladimirKulich', 'DennisStorhøi']",JohnMcTiernan
49040,The Bourne Legacy,"['JeremyRenner', 'RachelWeisz', 'EdwardNorton']",TonyGilroy
415,Batman & Robin,"['GeorgeClooney', ""ChrisO'Donnell"", 'ArnoldSchwarzenegger']",JoelSchumacher
8871,How the Grinch Stole Christmas,"['JimCarrey', 'TaylorMomsen', 'JeffreyTambor']",RonHoward
435,The Day After Tomorrow,"['DennisQuaid', 'JakeGyllenhaal', 'EmmyRossum']",RolandEmmerich
955,Mission: Impossible II,"['TomCruise', 'DougrayScott', 'ThandieNewton']",JohnWoo
2133,The Perfect Storm,"['GeorgeClooney', 'MarkWahlberg', 'DianeLane']",WolfgangPetersen
1979,Fantastic 4: Rise of the Silver Surfer,"['IoanGruffudd', 'JessicaAlba', 'ChrisEvans']",TimStory
87827,Life of Pi,"['SurajSharma', 'IrrfanKhan', 'AyushTandon']",AngLee
1250,Ghost Rider,"['NicolasCage', 'EvaMendes', 'WesBentley']",MarkStevenJohnson
324668,Jason Bourne,"['MattDamon', 'AliciaVikander', 'TommyLeeJones']",PaulGreengrass
9471,Charlie's Angels: Full Throttle,"['CameronDiaz', 'DrewBarrymore', 'LucyLiu']",McG
70981,Prometheus,"['NoomiRapace', 'MichaelFassbender', 'GuyPearce']",RidleyScott
10996,Stuart Little 2,"['MichaelJ.Fox', 'GeenaDavis', 'HughLaurie']",RobMinkoff
68724,Elysium,"['MattDamon', 'JodieFoster', 'SharltoCopley']",NeillBlomkamp
2789,The Chronicles of Riddick,"['VinDiesel', 'ThandieNewton', 'KarlUrban']",DavidTwohy
97020,RoboCop,"['JoelKinnaman', 'GaryOldman', 'MichaelKeaton']",JoséPadilha
7459,Speed Racer,"['EmileHirsch', 'ChristinaRicci', 'MatthewFox']",LillyWachowski
42888,How Do You Know,"['ReeseWitherspoon', 'PaulRudd', 'OwenWilson']",JamesL.Brooks
37834,Knight and Day,"['TomCruise', 'CameronDiaz', 'PeterSarsgaard']",JamesMangold
75612,Oblivion,"['TomCruise', 'MorganFreeman', 'OlgaKurylenko']",JosephKosinski
1895,Star Wars: Episode III - Revenge of the Sith,"['EwanMcGregor', 'NataliePortman', 'HaydenChristensen']",GeorgeLucas
1894,Star Wars: Episode II - Attack of the Clones,"['EwanMcGregor', 'NataliePortman', 'HaydenChristensen']",GeorgeLucas
585,"Monsters, Inc.","['JohnGoodman', 'BillyCrystal', 'MaryGibbs']",PeteDocter
76170,The Wolverine,"['HughJackman', 'HiroyukiSanada', 'FamkeJanssen']",JamesMangold
1893,Star Wars: Episode I - The Phantom Menace,"['LiamNeeson', 'EwanMcGregor', 'NataliePortman']",GeorgeLucas
49519,The Croods,"['NicolasCage', 'EmmaStone', 'RyanReynolds']",ChrisSanders
2395,Asterix at the Olympic Games,"['ClovisCornillac', 'GérardDepardieu', 'FranckDubosc']",ThomasLangmann
12100,Windtalkers,"['NicolasCage', 'AdamBeach', 'PeterStormare']",JohnWoo
290595,The Huntsman: Winter's War,"['ChrisHemsworth', 'CharlizeTheron', 'EmilyBlunt']",CedricNicolas-Troyan
98566,Teenage Mutant Ninja Turtles,"['MeganFox', 'WillArnett', 'WilliamFichtner']",JonathanLiebesman
49047,Gravity,"['SandraBullock', 'GeorgeClooney', 'EdHarris']",AlfonsoCuarón
9619,Dante's Peak,"['PierceBrosnan', 'LindaHamilton', 'JamieRenéeSmith']",RogerDonaldson
308531,Teenage Mutant Ninja Turtles: Out of the Shadows,"['MeganFox', 'StephenAmell', 'WillArnett']",DaveGreen
166424,Fantastic Four,"['MilesTeller', 'KateMara', 'MichaelB.Jordan']",JoshTrank
1593,Night at the Museum,"['BenStiller', 'JakeCherry', 'CarlaGugino']",ShawnLevy
254128,San Andreas,"['DwayneJohnson', 'AlexandraDaddario', 'CarlaGugino']",BradPeyton
714,Tomorrow Never Dies,"['PierceBrosnan', 'JonathanPryce', 'MichelleYeoh']",RogerSpottiswoode
2024,The Patriot,"['MelGibson', 'HeathLedger', 'JoelyRichardson']",RolandEmmerich
163,Ocean's Twelve,"['GeorgeClooney', 'BradPitt', 'CatherineZeta-Jones']",StevenSoderbergh
787,Mr. & Mrs. Smith,"['AngelinaJolie', 'BradPitt', 'VinceVaughn']",DougLiman
262500,Insurgent,"['ShaileneWoodley', 'TheoJames', 'KateWinslet']",RobertSchwentke
2567,The Aviator,"['LeonardoDiCaprio', 'CateBlanchett', 'KateBeckinsale']",MartinScorsese
38745,Gulliver's Travels,"['JackBlack', 'AmandaPeet', 'EmilyBlunt']",RobLetterman
40805,The Green Hornet,"['SethRogen', 'JayChou', 'ChristophWaltz']",MichelGondry
53182,300: Rise of an Empire,"['SullivanStapleton', 'EvaGreen', 'LenaHeadey']",NoamMurro
41513,The Smurfs,"['HankAzaria', 'NeilPatrickHarris', 'JaymaMays']",RajaGosnell
13700,Home on the Range,"['RoseanneBarr', 'JudiDench', 'JenniferTilly']",WillFinn
262504,Allegiant,"['ShaileneWoodley', 'TheoJames', 'ZoëKravitz']",RobertSchwentke
39254,Real Steel,"['HughJackman', 'DakotaGoyo', 'EvangelineLilly']",ShawnLevy
77931,The Smurfs 2,"['HankAzaria', 'NeilPatrickHarris', 'BrendanGleeson']",RajaGosnell
1639,Speed 2: Cruise Control,"['SandraBullock', 'JasonPatric', 'WillemDafoe']",JandeBont
80274,Ender's Game,"['AsaButterfield', 'HarrisonFord', 'HaileeSteinfeld']",GavinHood
1571,Live Free or Die Hard,"['BruceWillis', 'JustinLong', 'TimothyOlyphant']",LenWiseman
120,The Lord of the Rings: The Fellowship of the Ring,"['ElijahWood', 'IanMcKellen', 'CateBlanchett']",PeterJackson
10204,Around the World in 80 Days,"['JackieChan', 'SteveCoogan', 'CéciledeFrance']",FrankCoraci
8489,Ali,"['WillSmith', 'JamieFoxx', 'JonVoight']",MichaelMann
10588,The Cat in the Hat,"['MikeMyers', 'DakotaFanning', 'SpencerBreslin']",BoWelch
2048,"I, Robot","['WillSmith', 'BridgetMoynahan', 'AlanTudyk']",AlexProyas
1495,Kingdom of Heaven,"['OrlandoBloom', 'EvaGreen', 'JeremyIrons']",RidleyScott
